氏名,氏名（カタカナ）,生年月日,出身地
長瀬義夫,ナガセヨシオ,1959-11-25,大阪府
瀬尾真希,セオマキ,1977-05-04,山形県
河上哲也,カワカミテツヤ,1973-08-22,栃木県
大庭雅典,オオニワマサノリ,1980-11-17,神奈川県
榎本圭一,エノモトケイイチ,1985-05-18,新潟県
秋山和歌子,アキヤマワカコ,1982-10-11,青森県
筒井十三,ツツイジュウゾウ,1966-03-26,岩手県
小林勝太郎,コバヤシカツタロウ,1964-12-08,山形県
古沢優香,フルサワユウカ,1970-02-16,石川県
冨田汐里,トミタシオリ,1993-02-09,新潟県
井出静枝,イデシズエ,1974-02-04,青森県
水口瑠花,ミズグチルカ,1959-07-16,熊本県
塩見茉央,シオミマオ,1991-11-01,大分県
大林敏正,オオバヤシトシマサ,1960-05-07,東京都
前原由真,マエハラユマ,1978-12-30,千葉県
羽鳥芳美,ハトリヨシミ,1985-12-05,京都府
村上萌香,ムラカミモエカ,1966-11-26,島根県
桜井昌信,サクライマサノブ,1963-04-02,宮崎県
黒川幸治,クロカワコウジ,1987-08-31,福井県
唐沢遥菜,カラサワハルナ,1970-07-03,山形県
浜田賢二,ハマダケンジ,1970-07-11,岩手県
目黒妃菜,メグロヒナ,1969-06-27,佐賀県
海老原喜代治,エビハラキヨジ,1991-12-11,高知県
柳沢真由,ヤナギサワマユ,1978-08-01,長野県
児玉俊男,コダマトシオ,1997-12-12,岡山県
日下部明宏,クサカベアキヒロ,1965-10-25,青森県
野中弘子,ノナカヒロコ,1985-12-13,滋賀県
瀬川政次,セガワマサツグ,1966-06-22,島根県
碓井知里,ウスイチサト,1988-08-08,山形県
石沢虎雄,イシザワトラオ,1977-08-27,佐賀県
相田貫一,アイダカンイチ,1962-12-19,滋賀県
秋田瑞希,アキタミズキ,1980-05-19,佐賀県
中尾睦,ナカオムツミ,1986-10-31,福井県
岩瀬瑠菜,イワセルナ,1968-01-31,長崎県
秦今日子,ハタキョウコ,1961-07-28,高知県
長谷佑奈,ナガヤユウナ,1984-12-20,山形県
土屋英子,ツチヤエイコ,1974-12-30,長崎県
北沢竹男,キタザワタケオ,1984-06-30,千葉県
稲垣清一,イナガキセイイチ,1982-09-22,岩手県
森山三雄,モリヤマミツオ,1987-09-25,愛媛県
吉本亘,ヨシモトワタル,1993-07-31,滋賀県
金野宏行,カネノヒロユキ,1964-08-03,宮城県
寺尾忍,テラオシノブ,1969-09-26,高知県
岩下竹志,イワシタタケシ,1962-11-23,徳島県
植松克美,ウエマツカツミ,1990-04-11,広島県
長坂由佳,ナガサカユカ,1970-05-16,山形県
吉井十郎,ヨシイジュウロウ,1985-02-05,山形県
井田泰男,イダヤスオ,1976-06-23,鹿児島県
荻野彩芽,オギノアヤメ,1979-08-20,徳島県
阿部知美,アベトモミ,1990-11-03,岡山県
菅沼純,スガヌマジュン,1968-08-26,岡山県
明石有紗,アカイシアリサ,1988-10-12,熊本県
堀田恭一,ホッタキョウイチ,1995-03-10,大阪府
森谷忠司,モリヤタダシ,1964-07-07,岩手県
川越詠一,カワゴエエイイチ,1966-11-24,栃木県
飯塚梢,イイヅカコズエ,1958-08-24,滋賀県
本間柚花,ホンマユズカ,1972-01-04,北海道
宮坂力,ミヤサカチカラ,1968-06-12,宮城県
本橋麗奈,モトハシレナ,1994-02-25,沖縄県
長尾房子,ナガオフサコ,1969-02-22,長崎県
横山俊雄,ヨコヤマトシオ,1995-12-20,香川県
河合幸作,カワイコウサク,1997-05-01,鹿児島県
小嶋芳久,オジマヨシヒサ,1968-03-04,石川県
大槻章一,オオツキショウイチ,1994-07-01,東京都
服部令子,ハットリレイコ,1981-10-26,福岡県
寺島節子,テラシマセツコ,1969-08-08,栃木県
池谷綾,イケタニアヤ,1983-05-10,静岡県
宮川愛香,ミヤカワアイカ,1993-02-20,京都府
氏家紗希,ウジイエサキ,1986-07-21,香川県
安川新太郎,ヤスカワシンタロウ,1968-04-27,東京都
竹本涼,タケモトリョウ,1981-08-20,鹿児島県
川野正敏,カワノマサトシ,1978-11-29,長野県
村山喜弘,ムラヤマヨシヒロ,1977-04-17,山口県
稲田光雄,イナダミツオ,1981-06-07,埼玉県
内村忠正,ウチムラタダマサ,1988-11-29,秋田県
鵜飼哲夫,ウカイテツオ,1963-02-09,鹿児島県
相原喜一郎,アイハラキイチロウ,1972-08-12,沖縄県
田渕盛雄,タブチモリオ,1958-01-19,岩手県
堀井武志,ホリイタケシ,1983-12-08,奈良県
堀井小梅,ホリイコウメ,1986-06-25,青森県
今井康子,イマイヤスコ,1970-01-16,山口県
徳永美智子,トクナガミチコ,1969-08-04,高知県
川崎秋男,カワサキアキオ,1976-01-04,兵庫県
岡紗和,オカサワ,1960-02-08,鳥取県
倉田裕一,クラタユウイチ,1966-08-02,岡山県
今野麻緒,コンノマオ,1964-03-22,大分県
飯野良一,イイノリョウイチ,1985-08-29,岩手県
木本悦太郎,キモトエツタロウ,1979-04-18,徳島県
大平淳三,オオヒラジュンゾウ,1977-10-29,栃木県
諏訪祥治,スワショウジ,1981-05-26,茨城県
佐々木和奏,ササキワカナ,1987-06-18,鳥取県
松島結月,マツシマユヅキ,1961-08-02,熊本県
真鍋雪菜,マナベユキナ,1990-06-26,鹿児島県
笹本純,ササモトジュン,1993-07-07,滋賀県
松田春香,マツダハルカ,1969-11-13,石川県
杉田冨美子,スギタフミコ,1978-01-08,島根県
奥茂雄,オクシゲオ,1980-09-26,広島県
香川琴音,カガワコトネ,1961-03-25,高知県
狩野浩志,カノウコウジ,1996-08-17,三重県
小幡果歩,オバタカホ,1985-05-18,佐賀県
小久保輝男,コクボテルオ,1973-11-08,東京都
佐藤敦彦,サトウアツヒコ,1983-04-14,広島県
菊地賢治,キクチケンジ,1974-12-17,福井県
鳥居陽保,トリイハルヤス,1991-06-18,山梨県
宮脇守男,ミヤワキモリオ,1976-11-15,栃木県
森本亜希子,モリモトアキコ,1997-01-24,群馬県
吉岡春夫,ヨシオカハルオ,1970-05-07,徳島県
松野福太郎,マツノフクタロウ,1976-07-11,香川県
木原柚,キハラユズ,1978-03-11,岡山県
須田武秀,スダタケヒデ,1979-10-09,三重県
若林正司,ワカバヤシマサシ,1978-02-23,岐阜県
栗林徳次郎,クリバヤシトクジロウ,1969-12-23,徳島県
秋葉直治,アキバナオジ,1970-12-10,福島県
大友孝宏,オオトモタカヒロ,1963-01-22,山形県
井川裕久,イカワヒロヒサ,1958-11-01,秋田県
野田夏美,ノダナツミ,1970-11-30,福岡県
塩田貴士,シオダタカシ,1966-08-23,熊本県
石橋均,イシバシヒトシ,1995-04-29,福岡県
小栗勇二,オグリユウジ,1984-03-13,広島県
長瀬咲来,ナガセサクラ,1991-04-08,北海道
長井遥花,ナガイハルカ,1997-02-25,沖縄県
武井年紀,タケイトシノリ,1970-01-25,三重県
工藤響,クドウヒビキ,1961-06-13,鳥取県
飯田久,イイダヒサシ,1974-07-02,岡山県
早坂厚吉,ハヤサカコウキチ,1989-06-10,神奈川県
青柳利勝,アオヤギトシカツ,1974-07-03,千葉県
田原喜久男,タワラキクオ,1979-08-30,熊本県
宮坂貫一,ミヤサカカンイチ,1996-10-15,埼玉県
持田和幸,モチダカズユキ,1963-09-22,京都府
桜田美来,サクラダミク,1967-12-20,岐阜県
武田正,タケダタダシ,1995-10-19,静岡県
保田彩奈,ヤスダアヤナ,1974-10-12,神奈川県
石橋亜希,イシバシアキ,1961-08-24,山口県
畠中孝司,ハタナカタカシ,1995-08-24,青森県
安斉正俊,アンザイマサトシ,1976-03-19,長野県
山下幸次郎,ヤマシタコウジロウ,1985-04-02,長崎県
中森太郎,ナカモリタロウ,1964-07-16,和歌山県
外山浩一,ソトヤマコウイチ,1959-02-17,徳島県
熊田真澄,クマダマスミ,1988-01-01,長崎県
諸星睦夫,モロボシムツオ,1982-12-19,三重県
赤井昌,アカイマサシ,1994-10-22,徳島県
岩井羽奈,イワイハナ,1958-10-21,栃木県
児玉凛花,コダマリンカ,1980-12-16,島根県
大島慶治,オオシマケイジ,1974-05-30,宮城県
岸田弘,キシダヒロシ,1988-07-15,大阪府
梅村勝次,ウメムラカツジ,1978-01-10,香川県
山岸真由子,ヤマギシマユコ,1991-02-10,山口県
瀬尾美優,セオミユウ,1966-09-06,山梨県
高津誠二,タカツセイジ,1959-01-24,愛媛県
合田和秀,アイダカズヒデ,1973-10-01,福島県
下川信子,シモカワノブコ,1979-02-07,千葉県
宍戸扶三代,シシドフミヨ,1995-11-20,島根県
依田圭一,イダケイイチ,1969-11-03,京都府
小島奈々美,オジマナナミ,1979-01-24,静岡県
長田和佳子,ナガタワカコ,1977-11-23,福井県
植田美紀,ウエダミキ,1994-09-16,兵庫県
笹森扶三代,ササモリフミヨ,1966-08-14,京都府
久野結奈,ヒサノユウナ,1992-03-16,島根県
長谷澄子,ナガヤスミコ,1963-06-02,富山県
広川正洋,ヒロカワマサヒロ,1997-07-24,山梨県
藤井麻美,フジイアサミ,1993-01-19,宮城県
宮沢一男,ミヤザワカズオ,1962-08-11,香川県
神崎結愛,カンザキユア,1959-09-22,茨城県
金山麻里子,カナヤママリコ,1986-07-13,長野県
大井孝雄,オオイタカオ,1987-03-23,広島県
小野田菜々実,オノダナナミ,1980-02-13,北海道
高木与三郎,タカギヨサブロウ,1963-02-15,長野県
野村隆介,ノムラリュウスケ,1972-12-08,京都府
立石美紗,タテイシミサ,1988-02-16,福岡県
石沢敏雄,イシザワトシオ,1958-05-08,香川県
黒木晃,クロキアキラ,1966-03-01,新潟県
永島薫,ナガシマカオル,1959-06-22,山形県
近藤奈保美,コンドウナホミ,1979-12-22,山形県
下田貴子,シモダタカコ,1959-04-30,東京都
吉永博子,ヨシナガヒロコ,1960-06-28,奈良県
児玉龍平,コダマリュウヘイ,1983-12-03,埼玉県
陳義一,チンヨシイチ,1984-08-13,高知県
中村紗希,ナカムラサキ,1994-09-07,岡山県
栗田香奈,クリタカナ,1980-04-24,東京都
小暮里歩,コグレリホ,1984-11-06,石川県
相良省三,サガラショウゾウ,1988-06-27,茨城県
菅井依子,スガイヨリコ,1987-07-01,栃木県
磯崎尚三,イソザキショウゾウ,1979-09-07,奈良県
津田龍雄,ツダタツオ,1958-06-16,静岡県
岡山佳佑,オカヤマケイスケ,1995-05-16,沖縄県
水谷幸吉,ミズタニコウキチ,1973-08-14,和歌山県
畑中彩加,ハタナカアヤカ,1979-01-28,佐賀県
酒井葉菜,サカイハナ,1973-08-05,群馬県
根岸時男,ネギシトキオ,1977-10-16,栃木県
森山令子,モリヤマレイコ,1992-08-08,京都府
伏見福太郎,フシミフクタロウ,1984-02-01,愛知県
田沢新一郎,タザワシンイチロウ,1960-01-20,山梨県
岩渕胡春,イワブチコハル,1963-07-11,福井県
佐野小夏,サノコナツ,1959-04-17,滋賀県
西田真緒,ニシダマオ,1978-11-27,宮城県
村山雅之,ムラヤママサユキ,1977-11-17,岐阜県
谷本紀夫,タニモトノリオ,1962-12-09,京都府
船越嘉之,フナコシヨシユキ,1974-02-03,福井県
河上正二,カワカミショウジ,1985-09-25,愛媛県
笹森菜穂,ササモリナホ,1984-03-08,鳥取県
小野田紀幸,オノダノリユキ,1988-03-31,東京都
山内春夫,ヤマウチハルオ,1997-08-09,広島県
羽鳥華蓮,ハトリカレン,1988-10-31,徳島県
稲田沙弥,イナダサヤ,1988-07-11,福井県
寺本康弘,テラモトヤスヒロ,1972-01-05,沖縄県
白川若菜,シラカワワカナ,1985-12-19,山形県
中澤次男,ナカザワツギオ,1986-04-14,福岡県
藤沢和美,フジサワカズミ,1970-02-24,大阪府
岡村利伸,オカムラトシノブ,1977-12-23,和歌山県
本田亨,ホンダトオル,1968-02-14,大分県
川口美千代,カワグチミチヨ,1965-10-17,島根県
河本紬,カワモトツムギ,1968-05-24,神奈川県
須賀治男,スガハルオ,1986-01-12,新潟県
松元真歩,マツモトマホ,1972-03-09,福岡県
細川莉桜,ホソカワリオ,1996-05-22,島根県
松村光政,マツムラミツマサ,1993-02-22,石川県
西原礼子,ニシハラレイコ,1973-06-25,福島県
北村涼香,キタムラスズカ,1979-05-06,東京都
滝本安,タキモトヤスシ,1966-11-01,千葉県
丸山麗華,マルヤマレイカ,1977-12-12,愛知県
有馬奈々子,アリマナナコ,1983-01-23,和歌山県
坂井雄一,サカイユウイチ,1975-05-05,千葉県
石村雅信,イシムラマサノブ,1966-04-06,高知県
青山心愛,アオヤマココア,1973-10-01,福島県
我妻雄一,アガツマユウイチ,1986-02-16,富山県
竹本菜緒,タケモトナオ,1978-01-07,熊本県
菅谷隆文,スガヤタカフミ,1993-12-02,滋賀県
浦野結羽,ウラノユウ,1960-11-02,岩手県
久野美来,ヒサノミク,1971-07-07,神奈川県
矢部花蓮,ヤベカレン,1993-09-03,鳥取県
高松初太郎,タカマツハツタロウ,1967-04-17,富山県
村木奈々美,ムラキナナミ,1970-12-22,島根県
小暮徳美,コグレトクミ,1971-09-26,高知県
鵜飼直子,ウカイナオコ,1966-12-11,高知県
田川俊哉,タガワトシヤ,1959-05-03,沖縄県
江藤新吉,エトウシンキチ,1960-10-05,沖縄県
亀井一,カメイハジメ,1962-09-04,埼玉県
大倉浩二,オオクラコウジ,1974-10-04,神奈川県
水野恵一,ミズノケイイチ,1973-12-26,栃木県
長井伍朗,ナガイゴロウ,1990-12-30,山口県
竹田遥華,タケダハルカ,1974-12-14,兵庫県
北田正勝,キタダマサカツ,1981-06-25,千葉県
染谷真衣,ソメヤマイ,1978-04-02,茨城県
角田栞,カクタシオリ,1987-04-12,徳島県
荻原沙織,オギワラサオリ,1959-01-21,山形県
石崎健一,イシザキケンイチ,1993-12-02,広島県
我妻栄美,アガツマエミ,1979-11-21,栃木県
阿久津信吉,アクツシンキチ,1970-03-08,広島県
小西史織,コニシシオリ,1958-02-27,東京都
永野希,ナガノノゾミ,1969-12-25,群馬県
永野杏奈,ナガノアンナ,1959-04-27,長崎県
亀山弘美,カメヤマヒロミ,1991-07-06,長崎県
羽田重行,ハタシゲユキ,1996-07-18,山形県
大野心美,オオノココミ,1992-12-19,広島県
篠田泰次,シノダタイジ,1975-08-23,滋賀県
須藤由紀江,スドウユキエ,1992-09-10,愛媛県
玉木基良,タマギモトヨシ,1975-07-24,島根県
沼田英三,ヌマタエイゾウ,1970-06-01,山形県
佐藤真実,サトウマミ,1963-10-08,山梨県
近藤当麻,コンドウトウマ,1983-09-24,山口県
平山晴夫,ヒラヤマハルオ,1996-03-03,高知県
北村優月,キタムラユヅキ,1961-06-21,鳥取県
塩田恵理,シオダエリ,1993-08-26,岡山県
福原奈穂,フクハラナホ,1983-09-07,沖縄県
高田正男,コウダマサオ,1963-08-01,青森県
小沼悠,オヌマハルカ,1976-04-14,三重県
川田道男,カワダミチオ,1995-07-19,千葉県
千葉詩音,チバシオン,1996-09-27,福島県
手島武久,テジマタケヒサ,1968-06-07,大阪府
大嶋吉男,オオシマヨシオ,1989-09-23,北海道
山元良雄,ヤマモトヨシオ,1977-03-06,兵庫県
国分金治,コクブキンジ,1986-01-23,山梨県
千田隆史,センダタカシ,1980-05-26,佐賀県
梅田善成,ウメダヨシナリ,1983-06-16,茨城県
吉崎灯,ヨシザキアカリ,1968-08-13,長崎県
大沢公子,オオサワキミコ,1972-02-09,兵庫県
藤岡千恵子,フジオカチエコ,1968-06-01,福井県
岩崎清太郎,イワサキセイタロウ,1967-05-23,大分県
宮本和秀,ミヤモトカズヒデ,1994-09-04,広島県
有賀幸真,アリガユキマサ,1972-09-13,鹿児島県
高村広行,タカムラヒロユキ,1980-05-19,神奈川県
守屋桃佳,モリヤモモカ,1968-02-01,秋田県
乾優華,イヌイユウカ,1978-07-16,佐賀県
太田岩雄,オオタイワオ,1978-04-18,和歌山県
楠本晴夫,クスモトハルオ,1968-02-25,秋田県
平賀彩夏,ヒラガサイカ,1991-10-01,千葉県
南和葉,ミナミカズハ,1961-08-18,和歌山県
大平貢,オオヒラミツグ,1994-06-13,佐賀県
川添修,カワゾエオサム,1989-06-10,長崎県
中井春,ナカイハル,1992-04-19,三重県
大石英紀,オオイシヒデノリ,1971-05-13,静岡県
児島数子,コジマカズコ,1968-06-09,徳島県
瀬尾美千代,セオミチヨ,1991-01-07,神奈川県
沼田公彦,ヌマタキミヒコ,1982-12-23,大阪府
布施清茂,フセキヨシ,1959-07-29,千葉県
成田梨央,ナリタリオ,1969-09-11,福岡県
矢田早紀,ヤダサキ,1965-09-14,長崎県
熊谷桜,クマガヤサクラ,1970-05-10,長野県
菅野香澄,スガノカスミ,1982-08-12,三重県
柴山千恵,シバヤマチエ,1985-04-19,岩手県
須田由子,スダユウコ,1962-12-09,山梨県
古賀照夫,コガテルオ,1983-02-16,埼玉県
星野竹次郎,ホシノタケジロウ,1968-11-21,石川県
広瀬昭吉,ヒロセショウキチ,1967-01-25,新潟県
北条弓月,ホウジョウユヅキ,1994-11-15,栃木県
赤坂昌幸,アカサカマサユキ,1958-03-05,千葉県
平春香,タイラハルカ,1964-08-26,京都府
宇野登,ウノノボル,1962-09-28,愛知県
高崎柚衣,タカサキユイ,1990-08-05,長野県
冨永忍,トミナガシノブ,1973-12-17,北海道
海野楓,ウミノカエデ,1968-04-28,青森県
伴敦彦,バンアツヒコ,1968-02-24,静岡県
新倉優那,ニイクラユウナ,1982-01-12,佐賀県
馬場秀夫,ババヒデオ,1962-12-19,京都府
窪田蒼衣,クボタアオイ,1987-01-28,千葉県
浦田佳代子,ウラタカヨコ,1989-02-07,栃木県
木村昌彦,キムラマサヒコ,1988-03-04,福井県
徳田涼花,トクダスズカ,1986-09-19,愛媛県
関辰雄,カンタツオ,1983-07-18,福島県
仲野向日葵,ナカノヒマリ,1976-05-29,長野県
小澤誠子,オザワマサコ,1970-10-17,徳島県
坪井真子,ツボイマコ,1978-09-18,沖縄県
池谷瑠衣,イケタニルイ,1965-09-11,新潟県
日下部健次,クサカベケンジ,1984-05-06,和歌山県
相田香,アイダカオル,1989-12-10,鹿児島県
飯塚四郎,イイヅカシロウ,1969-03-05,福井県
根岸昌嗣,ネギシマサシ,1992-06-07,奈良県
井川忠志,イカワタダシ,1975-11-20,佐賀県
黒田雪子,クロダユキコ,1966-07-07,山口県
大関琉那,オオゼキルナ,1992-10-30,島根県
稲葉力雄,イナバリキオ,1961-01-18,三重県
安東唯,アンドウユイ,1966-03-07,岡山県
東山重光,ヒガシヤマシゲミツ,1959-12-23,愛知県
柳原楓華,ヤナギハラフウカ,1969-04-16,秋田県
松原定夫,マツバラサダオ,1963-05-03,滋賀県
奥山陽華,オクヤマハルカ,1973-05-31,東京都
寺島怜,テラシマレイ,1971-10-21,北海道
河原奈菜,カワハラナナ,1995-03-31,群馬県
奥田明仁,オクダアキヒト,1982-02-26,石川県
益田真理,マスダマリ,1967-03-13,大阪府
冨田芳太郎,トミタヨシタロウ,1997-07-28,鹿児島県
奈良正人,ナラマサト,1962-10-12,岡山県
城戸敏昭,キドトシアキ,1962-01-14,鳥取県
上田功一,ウエダコウイチ,1989-09-05,神奈川県
竹中梅吉,タケナカウメキチ,1967-01-16,奈良県
西脇穂香,ニシワキホノカ,1959-03-03,大阪府
阪本正三,サカモトショウゾウ,1974-09-09,群馬県
足立結奈,アダチユウナ,1961-07-24,富山県
徳田順,トクダジュン,1982-10-05,三重県
中西好子,ナカニシヨシコ,1960-02-19,長崎県
湯浅由奈,ユアサユナ,1977-05-31,愛媛県
松崎修子,マツザキシュウコ,1959-12-18,奈良県
上田菜那,ウエダナナ,1977-05-12,岡山県
松野穂乃花,マツノホノカ,1976-12-13,埼玉県
浦野佳子,ウラノヨシコ,1965-04-13,鹿児島県
沢村希美,サワムラキミ,1987-01-03,和歌山県
町田真桜,マチダマオ,1990-03-16,沖縄県
大場藍,オオバアイ,1994-07-10,秋田県
小松奈津子,コマツナツコ,1976-07-10,福井県
高松隆史,タカマツタカシ,1980-01-16,秋田県
寺沢陽奈,テラサワヒナ,1981-11-10,香川県
栗原道雄,クリハラミチオ,1963-12-20,茨城県
野中義明,ノナカヨシアキ,1963-11-13,大阪府
石崎紗希,イシザキサキ,1986-10-23,三重県
辻本比呂,ツジモトヒロ,1973-12-09,埼玉県
寺田華乃,テラダカノ,1966-01-07,長崎県
首藤邦子,シュドウクニコ,1996-03-21,佐賀県
高島栄次郎,タカシマエイジロウ,1988-01-27,徳島県
島崎三朗,シマザキサブロウ,1960-01-08,石川県
丹野奈穂,タンノナホ,1971-12-07,三重県
森山賢次,モリヤマケンジ,1973-11-09,石川県
芳賀光,ハガヒカル,1978-02-13,熊本県
岩永菜々子,イワナガナナコ,1978-02-15,静岡県
浜口秀樹,ハマグチヒデキ,1968-02-24,北海道
米山詩,コメヤマウタ,1959-09-09,京都府
細川歩美,ホソカワアユミ,1993-03-30,栃木県
高畑陽華,タカハタハルカ,1973-02-25,佐賀県
秋葉有紗,アキバアリサ,1960-04-14,徳島県
藤巻幸二,フジマキコウジ,1967-08-24,石川県
富田玲子,トミダレイコ,1984-09-19,岩手県
大山莉歩,オオヤマリホ,1984-03-23,熊本県
井口太陽,イグチタイヨウ,1978-03-21,岡山県
末吉菜摘,スエヨシナツミ,1987-10-23,沖縄県
杉山果凛,スギヤマカリン,1966-10-18,福井県
松木真由子,マツキマユコ,1964-12-08,熊本県
山中美姫,ヤマナカミキ,1982-09-24,徳島県
石渡響,イシワタリヒビキ,1991-08-24,静岡県
妹尾真歩,セノオマホ,1971-04-21,徳島県
大竹絵里,オオタケエリ,1989-04-08,埼玉県
武藤陽一郎,タケフジヨウイチロウ,1985-08-28,高知県
佐川賢明,サガワタテアキ,1972-12-13,群馬県
白石幸真,シライシユキマサ,1969-11-04,三重県
明石隆則,アカイシタカノリ,1974-03-02,三重県
坂東定男,バンドウサダオ,1988-10-02,茨城県
荒木一華,アラキイチカ,1959-05-07,兵庫県
今井泰,イマイヤスシ,1971-05-14,福井県
大木美羽,オオキミウ,1960-05-20,北海道
橋本心咲,ハシモトミサキ,1995-09-11,福井県
岡紗羽,オカサワ,1969-03-18,長野県
