氏名,氏名（カタカナ）,生年月日,出身地
岡崎結羽,オカザキユウ,1983-02-22,群馬県
今川紀子,イマガワノリコ,1990-11-26,神奈川県
岩崎元,イワサキハジメ,1991-02-09,鳥取県
秦唯,ハタユイ,1991-04-05,山梨県
南田美津子,ミナミダミツコ,1961-04-27,愛知県
宮坂幹夫,ミヤサカミキオ,1983-07-01,広島県
浜野麻世,ハマノマヨ,1991-05-07,京都府
花岡新一郎,ハナオカシンイチロウ,1996-07-10,山形県
石川和雄,イシカワカズオ,1997-09-07,熊本県
大西琉那,オオニシルナ,1986-11-09,奈良県
荻原芽生,オギワラメイ,1990-11-19,岡山県
関根昌幸,セキネマサユキ,1974-01-19,宮崎県
神崎美穂,カンザキミホ,1968-05-17,千葉県
竹本広行,タケモトヒロユキ,1987-07-23,栃木県
風間心咲,カザマミサキ,1979-07-16,徳島県
金子弘一,カネココウイチ,1983-10-20,愛媛県
福岡啓之,フクオカヒロユキ,1987-02-12,佐賀県
石山育男,イシヤマイクオ,1982-02-18,沖縄県
細谷芳人,ホソヤヨシヒト,1964-06-12,秋田県
徳永瑠美,トクナガルミ,1961-05-06,和歌山県
藤谷隆,フジタニタカシ,1967-10-11,山梨県
児島康代,コジマヤスヨ,1967-06-04,宮城県
谷川敏宏,タニガワトシヒロ,1996-10-22,大阪府
河合尚生,カワイヒサオ,1968-11-06,静岡県
北沢莉菜,キタザワリナ,1992-01-17,山口県
丹野藤雄,タンノフジオ,1968-10-13,熊本県
川合結月,カワイユヅキ,1967-10-29,奈良県
熊谷春代,クマガヤハルヨ,1966-10-16,群馬県
杉田薫,スギタカオル,1976-08-08,長野県
山田潤,ヤマダジュン,1989-09-09,東京都
宮地末治,ミヤチスエジ,1983-06-07,山形県
辻孝吉,ツジコウキチ,1975-02-10,東京都
野呂円,ノロマドカ,1967-08-22,秋田県
中沢瑠花,ナカザワルカ,1974-02-27,青森県
松井喬,マツイタカシ,1991-12-09,愛知県
森本泰次,モリモトタイジ,1968-03-03,福岡県
吉村廣祐,ヨシムラコウスケ,1971-11-20,宮城県
宍戸凪沙,シシドナギサ,1963-01-11,宮城県
金井満夫,カネイミツオ,1968-07-09,長野県
小笠原有里,オガサワラユリ,1961-03-02,福井県
中西綾,ナカニシアヤ,1991-11-23,鳥取県
中嶋愛実,ナカジママナミ,1978-12-18,広島県
西岡美樹子,ニシオカミキコ,1958-07-14,富山県
三田直也,ミタナオヤ,1992-04-22,福島県
小沢年紀,オザワトシノリ,1997-03-22,鳥取県
畑渉,ハタケワタル,1995-10-08,岐阜県
柳田龍平,ヤナギダリュウヘイ,1976-04-24,石川県
浜本勉,ハマモトツトム,1992-04-20,群馬県
小関信治,オゼキシンジ,1988-01-28,岐阜県
椎名一雄,シイナカズオ,1975-01-07,佐賀県
長崎心音,ナガサキココネ,1991-04-26,岩手県
百瀬郁子,モモセイクコ,1978-10-08,埼玉県
畑公子,ハタケキミコ,1986-08-24,東京都
百瀬忠夫,モモセタダオ,1978-04-19,山形県
河田葵衣,カワダアオイ,1968-01-29,福島県
広瀬義彦,ヒロセヨシヒコ,1986-12-19,福島県
滋賀望美,シガノゾミ,1962-03-30,宮崎県
玉置緑,タマキミドリ,1982-07-13,兵庫県
小堀香音,コボリカノン,1972-09-30,宮城県
国分義明,コクブヨシアキ,1985-12-28,沖縄県
伊藤詩織,イトウシオリ,1981-03-03,長崎県
寺岡賢治,テラオカケンジ,1996-02-05,埼玉県
長島亜抄子,ナガシマアサコ,1972-12-21,新潟県
吉川智嗣,ヨシカワサトシ,1963-11-08,山形県
大石智博,オオイシトモヒロ,1997-12-07,埼玉県
菅沼暁子,スガヌマアキコ,1979-08-10,千葉県
八田信明,ヤツタノブアキ,1997-09-20,福岡県
吉崎風花,ヨシザキフウカ,1964-06-11,岐阜県
富岡数子,トミオカカズコ,1970-11-18,高知県
吉田一平,ヨシダイッペイ,1993-09-30,福岡県
曽我紬,ソガツムギ,1997-02-26,宮崎県
塩崎梨花,シオザキリカ,1995-02-10,岡山県
板垣雅,イタガキミヤビ,1984-11-02,京都府
天野政春,アマノマサハル,1994-07-17,兵庫県
小口賢次,オグチケンジ,1983-08-18,福島県
津田忠志,ツダタダシ,1965-03-23,大阪府
瀬川涼太,セガワリョウタ,1997-06-11,富山県
田渕博久,タブチヒロヒサ,1996-10-08,滋賀県
楠本寿男,クスモトトシオ,1959-09-15,愛知県
大矢利奈,オオヤリナ,1992-10-28,北海道
加藤陽子,カトウヨウコ,1972-03-02,沖縄県
宮野莉沙,ミヤノリサ,1961-09-27,岩手県
永山峻輝,ナガヤマシュンキ,1984-08-04,宮城県
三島文一,ミシマブンイチ,1971-04-17,沖縄県
筒井祥治,ツツイショウジ,1981-05-26,青森県
大内昭男,オウウチアキオ,1987-10-14,長崎県
寺内真奈,テラウチマナ,1960-09-09,岡山県
高尾照夫,タカオテルオ,1967-02-08,和歌山県
沢田有里,サワダユリ,1977-07-11,岡山県
平塚佳乃,ヒラツカヨシノ,1974-09-28,三重県
吉井和明,ヨシイカズアキ,1988-09-12,神奈川県
堀颯,ホリソウ,1970-08-21,富山県
細川行夫,ホソカワユキオ,1970-09-15,徳島県
高原小百合,タカハラサユリ,1979-05-03,栃木県
井沢敏仁,イザワトシヒト,1982-02-07,鳥取県
豊島徳男,トシマトクオ,1985-08-28,石川県
平賀亜美,ヒラガアミ,1978-11-07,埼玉県
矢口信孝,ヤグチノブタカ,1993-11-17,島根県
片野好子,カタノヨシコ,1997-05-06,滋賀県
大高邦仁,オオダカクニヒト,1978-12-22,石川県
有馬杏樹,アリマアンジュ,1971-12-17,福岡県
浜口金造,ハマグチキンゾウ,1986-04-05,鹿児島県
江藤陽奈,エトウヒナ,1959-11-28,島根県
瀬戸繁夫,セトシゲオ,1978-03-29,茨城県
有馬純一,アリマジュンイチ,1992-07-15,岡山県
大槻力,オオツキチカラ,1976-10-07,大阪府
梅木直美,ウメキナオミ,1963-09-20,沖縄県
浅川眞幸,アサカワマサキ,1987-05-26,愛知県
吉田寿男,ヨシダトシオ,1990-09-22,島根県
丸山正彦,マルヤママサヒコ,1978-01-18,長崎県
伊東昭二,イトウショウジ,1975-12-26,青森県
沖田竜也,オキタタツヤ,1959-01-17,秋田県
矢島数子,ヤジマカズコ,1983-06-02,福島県
橋口冨子,ハシグチトミコ,1983-10-02,三重県
大坪優香,オオツボユウカ,1963-09-06,栃木県
高岡敏明,タカオカトシアキ,1989-02-04,香川県
菊田敏行,キクタトシユキ,1989-05-06,神奈川県
鮫島杏樹,サメジマアンジュ,1965-04-12,秋田県
比嘉義久,ヒガヨシヒサ,1996-12-27,滋賀県
渋谷洋,シブヤヒロシ,1963-09-29,山口県
日野堅助,ヒノケンスケ,1985-06-22,千葉県
池谷亜紀,イケタニアキ,1993-08-09,佐賀県
宮内一男,ミヤウチカズオ,1967-03-24,奈良県
江原孝次,エバラコウジ,1971-04-10,石川県
和田銀蔵,ワダギンゾウ,1994-07-07,新潟県
矢崎絢音,ヤザキアヤネ,1997-10-17,東京都
小島末男,オジマスエオ,1968-06-07,新潟県
島津真帆,シマヅマホ,1991-08-09,佐賀県
有賀芳樹,アリガヨシキ,1991-01-22,北海道
高原智,タカハラサトシ,1957-12-21,高知県
塩谷美南,シオタニミナミ,1994-09-09,京都府
坂下道子,サカシタミチコ,1983-01-13,大阪府
三枝金造,サエグサキンゾウ,1964-11-28,愛知県
平沢利伸,ヒラサワトシノブ,1996-03-21,福井県
北朋子,キタトモコ,1965-08-30,愛媛県
田所雅裕,タドコロマサヒロ,1960-09-25,山口県
山上伊吹,ヤマガミイブキ,1994-11-29,埼玉県
川野結羽,カワノユウ,1968-09-02,静岡県
小西賢司,コニシケンジ,1970-07-24,滋賀県
出口優奈,デクチユウナ,1967-03-14,徳島県
芦田敦彦,アシダアツヒコ,1971-01-25,千葉県
山岸威雄,ヤマギシタケオ,1969-07-18,静岡県
富田藤子,トミダフジコ,1964-12-27,山梨県
柳瀬茂行,ヤナセシゲユキ,1980-07-01,福島県
丹羽竜夫,タンバタツオ,1989-08-20,島根県
草野進也,クサノシンヤ,1975-01-25,静岡県
梅村結依,ウメムラユイ,1985-05-20,山梨県
玉田啓三,タマダケイゾウ,1976-05-20,広島県
新村峰雄,ニイムラミネオ,1982-04-11,青森県
平本舞,ヒラモトマイ,1985-12-30,福岡県
岩崎治志,イワサキハルシ,1966-05-01,栃木県
川畑一司,カワバタカズシ,1996-09-07,岡山県
高嶋麻央,タカシママオ,1968-11-10,鹿児島県
小嶋菜帆,オジマナホ,1977-10-17,茨城県
吉本幸仁,ヨシモトユキヒト,1962-12-22,島根県
嶋田国彦,シマダクニヒコ,1988-04-24,宮崎県
塚本美姫,ツカモトミキ,1992-09-28,和歌山県
本間一子,ホンマイチコ,1959-01-09,島根県
横田吉雄,ヨコタヨシオ,1993-11-24,宮城県
鬼頭昌也,キトウマサヤ,1977-10-18,千葉県
大澤藤子,オオサワフジコ,1989-04-12,福島県
秋葉博文,アキバヒロフミ,1975-01-12,高知県
大友卓,オオトモタカシ,1981-05-14,栃木県
片岡恵理子,カタオカエリコ,1994-12-17,和歌山県
吾妻華乃,アズマカノ,1962-02-01,鹿児島県
上条誠子,カミジョウマサコ,1985-07-18,和歌山県
吉野菜央,ヨシノナオ,1985-01-11,和歌山県
板倉茉奈,イタクラマナ,1976-07-16,北海道
岡本千明,オカモトチアキ,1965-03-28,岩手県
結城健蔵,ユウキケンゾウ,1989-12-27,千葉県
藤井敏行,フジイトシユキ,1996-08-29,静岡県
阿久津勇治,アクツユウジ,1990-07-19,佐賀県
梅沢亜紀子,ウメザワアキコ,1990-07-16,大阪府
吉村威雄,ヨシムラタケオ,1974-06-27,福井県
小峰愛子,コミネアイコ,1965-07-02,佐賀県
細田雅彦,ホソダマサヒコ,1964-04-01,長崎県
小室朋花,コムロトモカ,1970-09-20,鹿児島県
熊沢保男,クマザワヤスオ,1960-10-13,群馬県
徳永淳,トクナガアツシ,1978-07-12,徳島県
日比野謙一,ヒビノケンイチ,1968-08-26,沖縄県
池内謙二,イケウチケンジ,1968-08-31,愛媛県
細川夏音,ホソカワカノン,1988-12-03,福岡県
星芳美,ホシヨシミ,1982-06-28,香川県
立川柚季,タチカワユズキ,1963-05-22,沖縄県
児玉和弥,コダマカズヤ,1987-01-31,岩手県
八田梨子,ヤツタリコ,1963-09-14,沖縄県
田沢千鶴子,タザワチヅコ,1979-08-08,山形県
半田理絵,ハンダリエ,1975-10-17,神奈川県
大嶋由太郎,オオシマヨシタロウ,1968-02-27,岡山県
藤崎美愛,フジザキミア,1986-08-25,鳥取県
平野講一,ヒラノコウイチ,1993-02-07,石川県
中島奈穂,ナカシマナホ,1969-02-09,熊本県
山内菜央,ヤマウチナオ,1972-03-20,長崎県
橋口夏実,ハシグチナツミ,1984-02-13,青森県
磯野光一,イソノコウイチ,1966-07-21,大阪府
水野太一,ミズノタイチ,1963-01-16,香川県
秦愛美,ハタアイミ,1988-06-12,福井県
栗田信治,クリタシンジ,1982-06-05,宮城県
牧野克美,マキノカツミ,1972-08-18,神奈川県
青野悦代,アオノエツヨ,1969-09-28,熊本県
織田佐吉,オダサキチ,1984-08-11,広島県
佐々木光子,ササキミツコ,1991-04-29,埼玉県
古沢由佳利,フルサワユカリ,1971-12-16,奈良県
永田衛,ナガタマモル,1961-09-21,愛知県
福永敦司,フクナガアツシ,1967-04-01,京都府
江原信幸,エバラノブユキ,1976-09-25,秋田県
上杉泰男,ウエスギヤスオ,1964-09-24,兵庫県
杉野隆夫,スギノタカオ,1997-04-01,岐阜県
小坂千晶,オサカチアキ,1961-05-22,群馬県
池田仁継,イケダマサツグ,1980-04-16,埼玉県
末吉善太郎,スエヨシゼンタロウ,1993-03-18,宮城県
平野希美,ヒラノキミ,1974-11-21,群馬県
高嶋幸也,タカシマユキヤ,1976-08-15,徳島県
中沢政信,ナカザワマサノブ,1982-04-06,大阪府
井出琴子,イデコトコ,1994-11-30,東京都
高岡巧,タカオカタクミ,1986-04-04,埼玉県
小栗登,オグリノボル,1966-04-01,新潟県
星野結奈,ホシノユウナ,1986-07-18,石川県
高畑理紗,タカハタリサ,1983-02-07,大阪府
坂田朋花,サカタトモカ,1964-07-07,千葉県
中村潔,ナカムラキヨシ,1986-06-09,徳島県
石井孝二,イシイコウジ,1966-04-21,愛媛県
浜本松夫,ハマモトマツオ,1965-07-18,長崎県
河田未央,カワダミオ,1973-01-06,宮城県
岩崎雪子,イワサキユキコ,1976-07-29,長野県
鳥居実緒,トリイミオ,1997-07-14,栃木県
大西双葉,オオニシフタバ,1986-07-27,大阪府
北田沙耶,キタダサヤ,1962-02-03,神奈川県
安達桂子,アダチケイコ,1983-02-13,宮崎県
市川一三,イチカワカズミ,1973-01-21,鳥取県
田辺花恋,タナベカレン,1964-11-12,栃木県
松尾守弘,マツオモリヒロ,1965-10-17,長崎県
金沢満喜子,カナザワマキコ,1994-02-18,鳥取県
高橋康之,タカハシヤスユキ,1978-06-29,岩手県
日高結芽,ヒダカユメ,1996-10-23,長野県
大淵徳康,オオブチトクヤス,1977-09-15,山梨県
江原伊織,エバライオリ,1959-08-10,和歌山県
乾正三郎,イヌイショウザブロウ,1965-04-22,宮城県
北尾美千代,キタオミチヨ,1985-01-22,埼玉県
石田伸子,イシダノブコ,1983-05-09,山梨県
志村直美,シムラナオミ,1991-04-17,京都府
芳賀徳三郎,ハガトクサブロウ,1974-06-04,愛媛県
上原賢次,ウエハラケンジ,1967-04-26,茨城県
重田暁子,シゲタアキコ,1989-11-11,佐賀県
辻本留美,ツジモトルミ,1976-02-12,東京都
鵜飼康朗,ウカイヤスロウ,1958-04-23,秋田県
宮田美玲,ミヤタミレイ,1996-09-08,滋賀県
石岡怜子,イシオカレイコ,1976-10-18,山形県
井出初男,イデハツオ,1993-09-01,鳥取県
若山由真,ワカヤマユマ,1971-09-26,岡山県
鈴木恵理,スズキエリ,1978-09-06,愛媛県
湊吉之助,ミナトキチノスケ,1971-11-12,群馬県
水田空,ミズタソラ,1973-07-12,鹿児島県
米田正三郎,ヨネダショウザブロウ,1985-02-11,東京都
清水敦子,キヨミズアツコ,1969-09-10,神奈川県
森永謙二,モリナガケンジ,1977-08-19,広島県
小原寧々,オハラネネ,1964-01-21,千葉県
小玉一憲,コダマカズノリ,1962-03-10,静岡県
松元俊幸,マツモトトシユキ,1984-12-01,埼玉県
根本宏行,ネモトヒロユキ,1982-03-13,佐賀県
西口花凛,ニシグチカリン,1978-09-22,福島県
小谷信義,コタニノブヨシ,1966-02-01,宮崎県
塩谷香菜,シオタニカナ,1961-12-12,千葉県
三木章夫,ミキアキオ,1992-03-21,秋田県
葛西彩子,カサイアヤコ,1971-11-02,秋田県
永瀬達郎,ナガセタツロウ,1969-08-27,徳島県
浅野忠男,アサノタダオ,1975-11-01,沖縄県
芦田秀雄,アシダヒデオ,1969-03-15,栃木県
内野一花,ウチノイチカ,1981-02-18,秋田県
沢明憲,サワアキノリ,1987-10-27,岐阜県
谷口啓一,タニグチケイイチ,1961-02-27,秋田県
榎本香乃,エノモトカノ,1985-01-06,富山県
富樫幸次,トガシコウジ,1997-07-21,富山県
浅見行夫,アサミユキオ,1973-05-29,大阪府
寺西千尋,テラニシチヒロ,1977-09-09,奈良県
金森廣祐,カナモリコウスケ,1975-01-24,山形県
藤巻寅男,フジマキトラオ,1969-06-14,高知県
宮田俊明,ミヤタトシアキ,1975-10-30,京都府
森井竹志,モリイタケシ,1997-01-04,鳥取県
中本風花,ナカモトフウカ,1978-01-30,長野県
高梨佳那子,タカナシカナコ,1982-02-14,高知県
清野彩乃,キヨノアヤノ,1993-01-17,群馬県
大宮恭三郎,オオミヤキョウザブロウ,1989-05-19,千葉県
栗山梨央,クリヤマリオ,1993-04-20,佐賀県
志賀美代,シガミヨ,1987-03-20,鳥取県
宮城奈々子,ミヤギナナコ,1991-07-17,大阪府
芦田咲季,アシダサキ,1990-12-30,大分県
三宅菜々美,ミヤケナナミ,1990-05-22,三重県
畠中尚司,ハタナカショウジ,1977-08-25,熊本県
笠井恭三郎,カサイキョウザブロウ,1971-12-01,新潟県
渋谷奈保子,シブヤナオコ,1973-02-11,神奈川県
安永莉乃,ヤスナガリノ,1981-10-27,山形県
春日光明,カスガミツアキ,1979-02-22,埼玉県
吉井美菜,ヨシイミナ,1992-09-04,沖縄県
山形政次,ヤマガタマサツグ,1958-11-13,青森県
古屋孝行,フルヤタカユキ,1994-06-05,山梨県
田代美雨,タシロミウ,1958-10-03,和歌山県
高橋和也,タカハシカズヤ,1984-08-08,埼玉県
石山希,イシヤマノゾミ,1979-05-08,群馬県
田渕由真,タブチユマ,1982-07-24,埼玉県
河原咲,カワハラサキ,1982-01-07,広島県
板橋美久,イタバシミク,1990-05-15,長野県
曽我咲季,ソガサキ,1981-01-06,鳥取県
長谷部賢三,ハセベケンゾウ,1983-06-28,山形県
畠山忠義,ハタケヤマタダヨシ,1963-08-21,宮城県
古沢常男,フルサワツネオ,1989-03-03,石川県
落合藤雄,オチアイフジオ,1990-02-23,秋田県
戸塚朝子,トツカトモコ,1984-09-09,埼玉県
吉原仁継,ヨシワラマサツグ,1985-02-23,石川県
百瀬京子,モモセキョウコ,1989-07-11,大阪府
嶋田凜,シマダリン,1993-07-26,群馬県
川合千鶴子,カワイチヅコ,1967-02-10,千葉県
郡司香乃,グンジカノ,1983-10-29,愛媛県
木村由姫,キムラユキ,1982-01-14,秋田県
目黒啓之,メグロヒロユキ,1959-04-12,岩手県
鎌田裕,カマタユウ,1964-12-20,福岡県
菊田秀夫,キクタヒデオ,1996-07-19,徳島県
下村実桜,シモムラミオ,1980-06-30,京都府
寺沢雛子,テラサワヒナコ,1963-06-11,栃木県
内藤繁男,ナイトウシゲオ,1959-01-27,群馬県
江成圭,エナリケイ,1993-03-22,奈良県
岩田英紀,イワタヒデノリ,1963-12-06,長野県
三輪愛海,ミワマナミ,1983-05-20,山口県
福原歩実,フクハラアユミ,1985-07-03,兵庫県
坂口一美,サカグチカズミ,1985-10-09,千葉県
前原徳美,マエハラトクミ,1958-10-07,新潟県
三村保夫,ミムラヤスオ,1994-08-18,北海道
飛田栄美,トビタエミ,1985-02-20,秋田県
影山陳雄,カゲヤマノブオ,1974-02-21,京都府
手塚智恵理,テヅカチエリ,1973-10-30,秋田県
大平貞子,オオヒラサダコ,1997-09-07,宮城県
富沢果歩,トミザワカホ,1973-02-22,千葉県
板倉小夏,イタクラコナツ,1961-05-19,長崎県
浜俊昭,ハマトシアキ,1962-04-27,宮城県
松井耕平,マツイコウヘイ,1960-09-16,埼玉県
島崎志乃,シマザキシノ,1958-07-26,京都府
寺岡里紗,テラオカリサ,1989-07-15,青森県
三沢香奈,ミサワカナ,1992-12-20,千葉県
石渡喜市,イシワタリキイチ,1993-09-22,佐賀県
三宅義和,ミヤケヨシカズ,1966-05-28,鳥取県
工藤一正,クドウカズマサ,1989-11-13,岐阜県
東山百花,ヒガシヤマモモカ,1985-07-28,大分県
松沢昌信,マツザワマサノブ,1973-10-04,高知県
高岡優子,タカオカユウコ,1967-11-02,新潟県
宮城昌弘,ミヤギマサヒロ,1983-05-12,埼玉県
浦田武久,ウラタタケヒサ,1973-12-04,千葉県
中野由里子,ナカノユリコ,1980-12-15,北海道
有田香菜,アリタカナ,1986-09-24,沖縄県
長谷川多紀,ハセガワタキ,1958-01-22,山口県
坪井礼子,ツボイレイコ,1989-09-27,鳥取県
柳原絢香,ヤナギハラアヤカ,1997-10-06,群馬県
矢田更紗,ヤダサラサ,1962-08-23,千葉県
本間隆介,ホンマリュウスケ,1965-02-27,山梨県
岡本健二,オカモトケンジ,1990-11-12,福岡県
南治夫,ミナミハルオ,1987-09-15,埼玉県
長瀬久道,ナガセヒサミチ,1969-05-31,鳥取県
木戸円香,キドマドカ,1985-12-17,高知県
諏訪友香,スワトモカ,1983-06-29,秋田県
川名文康,カワナフミヤス,1975-08-09,京都府
島稔,シマミノル,1977-11-17,愛知県
宇都宮伊織,ウツノミヤイオリ,1973-04-18,青森県
迫田元,サコタハジメ,1995-05-06,福岡県
岸本綾香,キシモトアヤカ,1961-01-22,北海道
篠崎勝也,シノザキカツヤ,1984-03-04,石川県
室井広重,ムロイヒロシゲ,1983-10-20,北海道
宮川結奈,ミヤカワユウナ,1989-06-23,佐賀県
二瓶実可,ニヘイミカ,1962-08-04,三重県
飯野真菜,イイノマナ,1991-05-23,岐阜県
相沢明仁,アイザワアキヒト,1983-05-27,秋田県
畑中亜美,ハタナカアミ,1958-05-06,福井県
坂井沙耶,サカイサヤ,1988-03-09,福島県
関根喜市,セキネキイチ,1988-05-27,埼玉県
松井栄一,マツイエイイチ,1984-09-07,兵庫県
桑田沙也加,クワタサヤカ,1990-06-17,宮崎県
小嶋守友,オジマモリトモ,1990-12-16,長崎県
横井保雄,ヨコイヤスオ,1974-05-08,大分県
大山瑞稀,オオヤマミズキ,1992-06-19,茨城県
松沢響子,マツザワキョウコ,1986-11-08,福岡県
河野夏鈴,カワノカリン,1962-12-28,山形県
工藤亜子,クドウアコ,1995-03-08,栃木県
相良政子,サガラマサコ,1962-10-30,和歌山県
安東怜,アンドウレイ,1980-08-30,青森県
鮫島貞,サメジマタダシ,1991-02-21,香川県
大友詩音,オオトモシオン,1991-06-20,埼玉県
安東新次郎,アンドウシンジロウ,1978-06-12,大分県
鶴田結依,ツルタユイ,1974-06-10,鹿児島県
山田喜弘,ヤマダヨシヒロ,1985-03-29,富山県
飛田詩織,トビタシオリ,1980-12-02,島根県
船越和義,フナコシカズヨシ,1958-04-09,山口県
高畑竹志,タカハタタケシ,1995-06-30,青森県
島安弘,シマヤスヒロ,1978-04-07,鳥取県
川畑綾音,カワバタアヤネ,1982-01-06,三重県
梅村次郎,ウメムラジロウ,1971-11-05,岐阜県
倉橋彩音,クラハシアヤネ,1992-12-17,島根県
榎本時子,エノモトトキコ,1966-03-09,石川県
白石汐里,シライシシオリ,1960-03-17,広島県
梅原美穂,ウメハラミホ,1970-04-18,高知県
大森佐一,オオモリサイチ,1960-03-08,香川県
久野御喜家,ヒサノミキヤ,1990-08-05,沖縄県
角清美,カクキヨミ,1982-04-30,静岡県
高原花凛,タカハラカリン,1974-10-18,静岡県
武井恵美,タケイエミ,1997-12-16,佐賀県
我妻謙治,アガツマケンジ,1991-07-01,北海道
八木野乃花,ヤギノノカ,1976-02-02,石川県
宮沢広吉,ミヤザワヒロキチ,1961-10-04,愛知県
川野心咲,カワノミサキ,1989-12-19,高知県
大島満喜子,オオシママキコ,1970-02-26,富山県
